date,month,place_name,round,race_id,morning_rank,post_rate_pct,rule,buy,points,stake_yen,payback_yen,payout_yen,trifecta,hit,is_manshu,is_over5000,heads,axes,keshi,tickets,checks
2025-01-01,2025-01,鳴門,6,2025-01-011406,1,31.24,skip_rate_ng,0,0,0,0,14490,143,0,1,1,,,,,展示後38%未満:NG(31.24%)
2025-01-01,2025-01,常滑,3,2025-01-010803,2,38.47,skip_subcore_conditions_ng,0,0,0,0,6960,312,0,0,1,,,,,"展示後38〜39.9%:OK(38.47%) / 1号艇危険:OK / 1AI予測8.6% / 1逃げ5.6% / 1逃げ失敗66.7% / 1展示+周平均との差-0.17 / 外頭2艇の2番手まで強い:OK(頭5,3,下限41.6) / 5/6絡み:OK / 内軸残り:NG(軸2) / 軸ルール:AI3連対率+一般3連対率の1位と3位（頭と重なる時はAI3連対率+一般3連対率の2位と3位で補完）"
2025-01-01,2025-01,桐生,4,2025-01-010104,3,31.57,skip_missing_exhibition,0,0,0,0,2440,312,0,0,0,,,,,展示/1周6艇未満
2025-01-01,2025-01,宮島,2,2025-01-011702,4,32.04,skip_rate_ng,0,0,0,0,2320,423,0,0,0,,,,,展示後38%未満:NG(32.04%)
2025-01-01,2025-01,浜名湖,2,2025-01-010602,5,37.27,skip_rate_ng,0,0,0,0,4800,153,0,0,0,,,,,展示後38%未満:NG(37.27%)
2025-01-01,2025-01,丸亀,5,2025-01-011505,6,35.11,skip_rate_ng,0,0,0,0,1600,143,0,0,0,,,,,展示後38%未満:NG(35.11%)
2025-01-01,2025-01,若松,2,2025-01-012002,7,32.1,skip_rate_ng,0,0,0,0,8480,136,0,0,1,,,,,展示後38%未満:NG(32.10%)
2025-01-01,2025-01,常滑,5,2025-01-010805,8,29.54,skip_rate_ng,0,0,0,0,2190,345,0,0,0,,,,,展示後38%未満:NG(29.54%)
2025-01-01,2025-01,宮島,4,2025-01-011704,9,29.74,skip_rate_ng,0,0,0,0,1600,523,0,0,0,,,,,展示後38%未満:NG(29.74%)
2025-01-01,2025-01,大村,5,2025-01-012405,10,29.04,skip_rate_ng,0,0,0,0,650,314,0,0,0,,,,,展示後38%未満:NG(29.04%)
2025-01-02,2025-01,常滑,5,2025-01-020805,1,32.94,skip_rate_ng,0,0,0,0,5010,236,0,0,1,,,,,展示後38%未満:NG(32.94%)
2025-01-02,2025-01,下関,1,2025-01-021901,2,30.09,skip_rate_ng,0,0,0,0,1950,123,0,0,0,,,,,展示後38%未満:NG(30.09%)
2025-01-02,2025-01,住之江,4,2025-01-021204,3,26.42,skip_rate_ng,0,0,0,0,6570,324,0,0,1,,,,,展示後38%未満:NG(26.42%)
2025-01-02,2025-01,住之江,6,2025-01-021206,4,37.27,skip_rate_ng,0,0,0,0,2610,145,0,0,0,,,,,展示後38%未満:NG(37.27%)
2025-01-02,2025-01,桐生,4,2025-01-020104,5,30.64,skip_missing_exhibition,0,0,0,0,5090,254,0,0,1,,,,,展示/1周6艇未満
2025-01-02,2025-01,江戸川,4,2025-01-020304,6,32.14,skip_missing_exhibition,0,0,0,0,4190,134,0,0,0,,,,,展示/1周6艇未満
2025-01-02,2025-01,鳴門,2,2025-01-021402,7,31.74,skip_rate_ng,0,0,0,0,16100,364,0,1,1,,,,,展示後38%未満:NG(31.74%)
2025-01-02,2025-01,津,8,2025-01-020908,8,31.44,skip_missing_exhibition,0,0,0,0,1950,316,0,0,0,,,,,展示/1周6艇未満
2025-01-02,2025-01,浜名湖,2,2025-01-020602,9,32.74,skip_rate_ng,0,0,0,0,2630,253,0,0,0,,,,,展示後38%未満:NG(32.74%)
2025-01-02,2025-01,桐生,3,2025-01-020103,10,29.6,skip_missing_exhibition,0,0,0,0,2110,356,0,0,0,,,,,展示/1周6艇未満
2025-01-03,2025-01,鳴門,6,2025-01-031406,1,33.91,skip_rate_ng,0,0,0,0,9070,546,0,0,1,,,,,展示後38%未満:NG(33.91%)
2025-01-03,2025-01,桐生,4,2025-01-030104,2,32.94,skip_missing_exhibition,0,0,0,0,2550,526,0,0,0,,,,,展示/1周6艇未満
2025-01-03,2025-01,桐生,1,2025-01-030101,3,27.8,skip_missing_exhibition,0,0,0,0,11430,254,0,1,1,,,,,展示/1周6艇未満
2025-01-03,2025-01,宮島,2,2025-01-031702,4,31.29,skip_missing_exhibition,0,0,0,0,940,543,0,0,0,,,,,展示/1周6艇未満
2025-01-03,2025-01,江戸川,5,2025-01-030305,5,30.44,skip_missing_exhibition,0,0,0,0,2240,123,0,0,0,,,,,展示/1周6艇未満
2025-01-03,2025-01,江戸川,3,2025-01-030303,6,31.24,skip_missing_exhibition,0,0,0,0,8230,462,0,0,1,,,,,展示/1周6艇未満
2025-01-03,2025-01,住之江,2,2025-01-031202,7,31.44,skip_rate_ng,0,0,0,0,1730,123,0,0,0,,,,,展示後38%未満:NG(31.44%)
2025-01-03,2025-01,津,4,2025-01-030904,8,30.57,skip_missing_exhibition,0,0,0,0,4440,512,0,0,0,,,,,展示/1周6艇未満
2025-01-03,2025-01,鳴門,7,2025-01-031407,9,32.84,skip_rate_ng,0,0,0,0,4070,316,0,0,0,,,,,展示後38%未満:NG(32.84%)
2025-01-03,2025-01,大村,4,2025-01-032404,10,29.84,skip_rate_ng,0,0,0,0,1740,213,0,0,0,,,,,展示後38%未満:NG(29.84%)
