score,selection,n,manshu_rate,target_arare_rate,avg_payout_yen,max_payout_yen
chaos_score,top3_per_day,429,0.2703962703962704,0.4988344988344988,9126.223776223776,132320
chaos_score,top5_per_day,715,0.22797202797202798,0.46153846153846156,8416.657342657343,147660
chaos_score,top10_per_day,1430,0.21188811188811188,0.43286713286713285,8212.482517482518,179250
existing_score,top3_per_day,135,0.28888888888888886,0.5333333333333333,9148.074074074075,48620
existing_score,top5_per_day,225,0.26222222222222225,0.5022222222222222,8828.533333333333,70270
existing_score,top10_per_day,450,0.2822222222222222,0.5244444444444445,9874.08888888889,263570
