year,selected_races,manshu_hits,actual_manshu_rate_pct,lift_vs_all,avg_score,avg_predicted_manshu_rate_pct,avg_payout_yen
2025,1825,370,20.27,1.22,18.72,35.54,7850.0
2026,845,159,18.82,1.14,18.87,35.69,7463.0
