status,date,place_name,round,deadline_time,race_id,race_kind,series_title,is_joshi,ranking_type,best_manshu_rate_pct,base_manshu_rate_pct,composite_edge_base_rate_pct,composite_edge_bonus_pct,composite_edges,best_recent_rate_pct,best_condition,matched_logic_count,payout,trifecta,b1_ai_prediction_pct,b1_ai_plus,b1_ai_plus_order,b1_nige_pct,b1_loss_pct,b1_avg_isshu_diff,b1_isshu_avg_diff,avg_isshu_time,avg_exhibit_combo_time,is_summer,b1_summer_isshu_factor,b1_summer_nige_delta_pp,b1_tenji_time,b1_isshu_time,outer56_best_avg_isshu_diff,outer56_best_ai_prediction_pct,outer56_best_tenji_time,outer56_best_isshu_time,ai_rank6_boat,ai_rank6_avg_isshu_diff,ai_rank6_tenji_rank,ai_rank6_isshu_rank,ai_rank5_boat,ai_rank5_avg_isshu_diff,ai_rank5_tenji_rank,ai_rank5_isshu_rank,double_time_boats,super_slit_boats,super_slit_alert_count,mid234_super_slit_count,outer456_super_slit_count,outer56_super_slit_count,slit_shape_label,b1_slit_gap_vs_23,b3_slit_adv_vs_12,b4_slit_adv_vs_123,outer56_slit_adv_vs_1,outer456_slit_adv_vs_123,slit_dekoboko,slit_b1_front_wall,slit_b1_hole_vs_23,slit_b2_wall_break_3peek,slit_b3_peek_vs_12,slit_b4_cadou_peek,slit_outer456_pressure,slit_outer56_pressure_vs_1,boat1_double_time,mid234_double_time_count,outer46_double_time_count,outer56_double_time_count,wind_speed,wave_height,tenji_boats,isshu_boats
展示待ち,2026-06-21,三国,9,2026-06-21T12:18:00+09:00,2026-06-211009,nan,日本トーター杯,0,strict,27.45,27.45,,0,[],25.0,会場: 三国 × 1号艇AI+一般3連対<140 × 1号艇差され+まくられ率>=30% × 展示: AI予測下位5/6号艇が展示/1周2位以内 × 5/6号艇AI予測最大>=10%,14,1730.0,315,16.28,112.31,2.0,13.33,50.0,0.6683333333333294,0.7317,38.461666666666666,45.35833333333333,1,fast_hold,15,6.96,37.73,-0.3816666666666748,16.1,6.82,38.92,4.0,0.23833333333332973,5.0,3.0,6.0,-0.8716666666666768,3.0,6.0,,5,1,0,1,1,外圧,0.00990000000000002,0.00990000000000002,-0.032,0.01150000000000001,0.0015999999999999903,0,0,0,0,0,0,1,1,0,0,0,0,5.0,5.0,6,6
展示待ち,2026-06-21,三国,6,2026-06-21T10:44:00+09:00,2026-06-211006,nan,日本トーター杯,0,strict,27.45,27.45,,0,[],25.0,会場: 三国 × 1号艇AI+一般3連対<140 × 1号艇差され+まくられ率>=30% × 展示: AI予測下位5/6号艇が展示/1周2位以内 × 5/6号艇AI予測最大>=10%,8,7130.0,523,24.15,123.50999999999999,2.0,52.0,32.0,0.6699999999999946,0.605,38.525,45.379999999999995,1,fast_hold,15,6.79,37.92,-0.3200000000000074,14.13,6.9,38.78,4.0,0.22999999999999687,2.0,2.0,3.0,0.09999999999999432,4.0,3.0,1,,0,0,0,0,外圧,0.0012000000000000066,-0.0023999999999999855,-0.011999999999999983,0.02250000000000002,0.021300000000000013,0,0,0,0,0,0,1,1,1,0,0,0,5.0,5.0,6,6
展示待ち,2026-06-21,浜名湖,7,2026-06-21T14:31:00+09:00,2026-06-210607,nan,にっぽん未来プロジェクト競走ｉｎ浜名湖,0,strict,27.36,27.36,,0,[],29.57,会場: 浜名湖 × 1号艇AI+一般3連対<120 × 1号艇一般3連対率<60% × 1号艇逃げ率<35% × 展示: AI+下位4〜6号艇が展示/1周2位以内,7,5590.0,236,8.25,88.46000000000001,4.0,21.74,52.17999999999999,-0.22666666666666657,-0.21,37.92,44.653333333333336,1,slow_fly,-17,6.75,38.13,-0.11666666666666003,8.74,6.73,38.04,6.0,-0.18666666666666032,6.0,5.0,3.0,0.10333333333333883,3.0,3.0,4,,0,0,0,0,1凹み+外圧,0.028999999999999998,0.0023999999999999855,0.003500000000000003,0.0169,0.003500000000000003,0,0,1,0,0,0,1,1,0,1,1,0,4.0,2.0,6,6
展示待ち,2026-06-21,宮島,1,2026-06-21T10:56:00+09:00,2026-06-211701,nan,マスターズリーグ第２戦デイリースポーツ杯,0,strict,27.21,27.21,,0,[],34.04,会場: 宮島 × 1号艇逃げ率<50% × 展示: 1号艇展示順位4〜6位 × 展示: 5/6号艇が2艇とも展示/1周2位以内 × 展示: 5/6号艇の展示が1号艇より0.05秒以上速い,2,1020.0,142,81.36,173.13,1.0,48.08,17.31,0.37000000000000455,0.35,37.78,44.6,1,fast_hold,15,6.8,37.43,-0.17999999999999972,1.75,6.81,37.97,6.0,-0.5799999999999983,5.0,6.0,5.0,-0.17999999999999972,3.0,5.0,1,,0,0,0,0,2壁割れ3覗き,0.0466,0.027999999999999997,-0.022699999999999998,0.0393,-0.007300000000000001,1,0,1,1,1,0,0,1,1,0,0,0,0.0,1.0,6,6
展示待ち,2026-06-21,宮島,3,2026-06-21T11:54:00+09:00,2026-06-211703,nan,マスターズリーグ第２戦デイリースポーツ杯,0,strict,27.21,27.21,,0,[],34.04,会場: 宮島 × 1号艇逃げ率<50% × 展示: 1号艇展示順位4〜6位 × 展示: 5/6号艇が2艇とも展示/1周2位以内 × 展示: 5/6号艇の展示が1号艇より0.05秒以上速い,2,2360.0,124,47.03,153.79000000000002,1.0,46.43,28.58,0.6983333333333306,0.655,37.605,44.39833333333333,1,fast_hold,15,6.75,36.95,0.4383333333333326,2.46,6.78,37.18,5.0,-0.8416666666666686,3.0,6.0,6.0,0.4383333333333326,2.0,2.0,1,,0,0,0,0,デコボコ,0.013299999999999979,0.010299999999999976,-0.033999999999999975,-0.010800000000000004,-0.024099999999999983,1,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0,6,6
展示待ち,2026-06-21,宮島,9,2026-06-21T14:56:00+09:00,2026-06-211709,nan,マスターズリーグ第２戦デイリースポーツ杯,0,strict,27.21,27.21,,0,[],34.04,会場: 宮島 × 1号艇逃げ率<50% × 展示: 1号艇展示順位4〜6位 × 展示: 5/6号艇が2艇とも展示/1周2位以内 × 展示: 5/6号艇の展示が1号艇より0.05秒以上速い,2,7300.0,162,43.35,160.04,1.0,46.34,29.270000000000003,0.0416666666666643,0.08,37.660000000000004,44.42166666666666,1,,0,6.8,37.58,0.2116666666666589,5.56,6.78,37.43,5.0,-0.268333333333338,5.0,6.0,6.0,0.2116666666666589,4.0,1.0,,,0,0,0,0,4カド覗き,-0.01200000000000001,-0.02260000000000001,0.033299999999999996,0.008899999999999991,0.033299999999999996,1,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,6,6
展示待ち,2026-06-21,児島,6,2026-06-21T13:12:00+09:00,2026-06-211606,nan,サッポロビールカップ,0,strict,27.18,27.18,,0,[],25.56,会場: 児島 × 1号艇逃げ率<50% × 1号艇差され+まくられ率>=35% × 展示: 1号艇1周タイム4〜6位 × 展示: 5/6号艇の1周が1号艇より0.05秒以上速い,1,1130.0,132,48.59,157.22,2.0,45.83,37.5,0.44333333333333513,0.4067,38.00666666666667,44.89333333333334,1,fast_hold,15,6.85,37.6,-0.356666666666662,1.4,6.88,38.37,6.0,-0.356666666666662,3.0,5.0,5.0,-0.4866666666666575,6.0,6.0,,,0,0,0,0,1凹み,0.02049999999999999,-0.0022999999999999965,0.0020000000000000018,0.014899999999999997,0.0020000000000000018,0,0,1,0,0,0,0,1,0,0,0,0,3.0,3.0,6,6
展示待ち,2026-06-21,多摩川,5,2026-06-21T13:33:00+09:00,2026-06-210505,nan,第１０回ａｕじぶん銀行賞,0,strict,27.07,27.07,,0,[],26.55,会場: 多摩川 × 1号艇AI+一般3連対<150 × 展示: 5/6号艇が2艇とも展示/1周2位以内 × 5/6号艇AI予測最大>=10%,3,6340.0,421,49.14,144.48,2.0,39.29,42.86,0.41166666666666174,0.4017,37.47166666666667,44.23166666666666,1,fast_hold,15,6.75,37.07,0.16166666666666174,10.27,6.74,37.33,6.0,-0.6483333333333405,6.0,6.0,3.0,-0.32833333333334025,5.0,5.0,,,0,0,0,0,1前+2壁,0.0032000000000000084,-0.017600000000000005,-0.03390000000000001,0.002599999999999991,-0.0006000000000000172,1,1,0,0,0,0,1,1,0,0,0,0,3.0,2.0,6,6
展示待ち,2026-06-21,戸田,3,2026-06-21T11:45:00+09:00,2026-06-210203,Venus,ヴィーナスシリーズ第６戦戸田中央メディックス埼玉杯,1,strict,27.01,27.01,,0,[],26.12,会場: 過去万舟率上位6場 × 展示: 1号艇 展示/1周どちらも4〜6位 × 展示: AI+下位5/6号艇が展示/1周2位以内 × 5/6号艇AI+一般最大>=100,7,2380.0,156,45.33,145.24,1.0,23.08,30.77,0.6783333333333346,0.5983,37.72833333333333,44.48833333333334,1,fast_hold,15,6.68,37.13,0.038333333333333997,20.08,6.74,37.71,4.0,-0.1316666666666606,3.0,4.0,6.0,-0.3716666666666626,5.0,6.0,1,,0,0,0,0,3/4中凹み,0.014899999999999997,0.012400000000000022,-0.0595,0.007499999999999979,-0.007400000000000018,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,6,6
展示待ち,2026-06-21,戸田,9,2026-06-21T14:48:00+09:00,2026-06-210209,Venus,ヴィーナスシリーズ第６戦戸田中央メディックス埼玉杯,1,strict,27.01,27.01,,0,[],26.12,会場: 過去万舟率上位6場 × 展示: 1号艇 展示/1周どちらも4〜6位 × 展示: AI+下位5/6号艇が展示/1周2位以内 × 5/6号艇AI+一般最大>=100,7,7190.0,451,78.63,186.67000000000002,1.0,80.39,7.84,0.36666666666666714,0.3683,37.97833333333333,44.71666666666667,1,fast_hold,15,6.74,37.61,0.12666666666667226,5.71,6.68,37.91,3.0,-0.05333333333332746,6.0,4.0,6.0,0.12666666666667226,1.0,3.0,,,0,0,0,0,2壁割れ3覗き,0.02969999999999999,0.02969999999999999,-0.05650000000000001,-0.0067000000000000115,-0.0364,1,0,1,1,1,0,0,0,0,0,0,0,1.0,1.0,6,6
展示待ち,2026-06-21,戸田,10,2026-06-21T15:21:00+09:00,2026-06-210210,Venus,ヴィーナスシリーズ第６戦戸田中央メディックス埼玉杯,1,strict,27.01,27.01,,0,[],26.12,会場: 過去万舟率上位6場 × 展示: 1号艇 展示/1周どちらも4〜6位 × 展示: AI+下位5/6号艇が展示/1周2位以内 × 5/6号艇AI+一般最大>=100,7,5360.0,134,72.21,183.22,1.0,70.91,12.719999999999999,0.24833333333333485,0.215,37.745,44.528333333333336,1,fast_hold,15,6.75,37.53,0.24833333333333485,11.68,6.79,37.46,4.0,-0.09166666666666146,2.0,4.0,2.0,-0.40166666666666373,6.0,5.0,3,3,1,1,0,0,3/4中凹み,-0.052800000000000014,-0.052800000000000014,-0.0869,-0.023900000000000005,-0.023900000000000005,1,0,0,0,0,0,0,0,0,1,0,0,2.0,1.0,6,6
展示待ち,2026-06-21,浜名湖,3,2026-06-21T12:28:00+09:00,2026-06-210603,nan,にっぽん未来プロジェクト競走ｉｎ浜名湖,0,strict,27.01,27.01,,0,[],26.12,会場: 過去万舟率上位6場 × 展示: 1号艇 展示/1周どちらも4〜6位 × 展示: AI+下位5/6号艇が展示/1周2位以内 × 5/6号艇AI+一般最大>=100,7,2280.0,152,48.13,161.48,1.0,53.85,26.92,0.23499999999999943,0.2383,37.65833333333334,44.465,1,fast_hold,15,6.81,37.42,0.11500000000000199,8.65,6.83,37.52,6.0,-0.19499999999999318,6.0,5.0,4.0,-0.4649999999999963,4.0,6.0,,,0,0,0,0,2壁割れ3覗き,0.013800000000000007,0.013800000000000007,-0.036500000000000005,0.030700000000000005,0.0169,1,0,0,1,0,0,0,1,0,0,0,0,3.0,1.0,6,6
展示待ち,2026-06-21,浜名湖,9,2026-06-21T15:37:00+09:00,2026-06-210609,nan,にっぽん未来プロジェクト競走ｉｎ浜名湖,0,strict,27.01,27.01,,0,[],26.12,会場: 過去万舟率上位6場 × 展示: 1号艇 展示/1周どちらも4〜6位 × 展示: AI+下位5/6号艇が展示/1周2位以内 × 5/6号艇AI+一般最大>=100,7,1560.0,124,32.75,155.01,2.0,52.78,27.779999999999998,0.6883333333333397,0.6933,37.95333333333333,44.76833333333334,1,fast_hold,15,6.82,37.26,-0.23166666666666202,12.46,6.79,38.21,5.0,-0.7016666666666609,6.0,6.0,3.0,0.14833333333334053,5.0,2.0,,6,1,0,1,1,4カド覗き,0.007200000000000012,-0.009500000000000008,0.027100000000000013,0.03270000000000001,0.027100000000000013,1,0,0,0,0,1,1,1,0,0,0,0,4.0,2.0,6,6
展示待ち,2026-06-21,浜名湖,12,2026-06-21T17:06:00+09:00,2026-06-210612,nan,にっぽん未来プロジェクト競走ｉｎ浜名湖,0,strict,27.01,27.01,,0,[],26.12,会場: 過去万舟率上位6場 × 展示: 1号艇 展示/1周どちらも4〜6位 × 展示: AI+下位5/6号艇が展示/1周2位以内 × 5/6号艇AI+一般最大>=100,7,50790.0,362,70.69,185.37,1.0,69.23,10.77,-0.030000000000001137,0.005,37.685,44.5,1,,0,6.85,37.68,0.45000000000000284,4.26,6.77,37.28,2.0,-0.12000000000000455,3.0,5.0,5.0,-0.10000000000000142,2.0,5.0,6,,0,0,0,0,1前+2壁,-0.028899999999999995,-0.04609999999999999,-0.06799999999999999,-0.03699999999999999,-0.03699999999999999,1,1,0,0,0,0,0,0,0,0,1,1,3.0,1.0,6,6
