status,date,place_name,round,deadline_time,race_id,race_grade,race_kind,series_title,is_joshi,ranking_type,best_manshu_rate_pct,base_manshu_rate_pct,composite_edge_base_rate_pct,composite_edge_bonus_pct,composite_edges,best_recent_rate_pct,best_condition,matched_logic_count,payout,trifecta,b1_ai_prediction_pct,b1_odds_prediction_pct,b1_odds_rank,b1_trifecta_top5_1head,trifecta_top5_head1_count,trifecta_top5_count,trifecta_top1_odds,trifecta_top5_avg_odds,trifecta_top5_combos,trifecta_odds_snapshot_at,b1_ai_plus,b1_ai_plus_order,b1_nige_pct,b1_loss_pct,b1_avg_isshu_diff,b1_isshu_avg_diff,avg_isshu_time,avg_exhibit_combo_time,lap_time_type,is_summer,b1_summer_isshu_factor,b1_summer_nige_delta_pp,b1_tenji_time,b1_tenji_rank,b1_tenji_time_rank,b1_isshu_time,b1_isshu_rank,outer56_best_avg_isshu_diff,outer56_best_ai_prediction_pct,outer56_best_ai_plus,outer56_best_tenji_time,outer56_best_isshu_time,outer56_tenji_top2_count,outer56_isshu_top2_count,outer56_exhibit_top2_count,ai_rank6_boat,ai_rank6_avg_isshu_diff,ai_rank6_ai_prediction_pct,ai_rank6_tenji_rank,ai_rank6_isshu_rank,ai_rank5_boat,ai_rank5_avg_isshu_diff,ai_rank5_ai_prediction_pct,ai_rank5_tenji_rank,ai_rank5_isshu_rank,low_outer_boat,low_outer_ai_plus_rank,low_outer_avg_isshu_diff,low_outer_ai_prediction_pct,low_outer_tenji_rank,low_outer_isshu_rank,low_outer_exhibit_top2,center_attack_wall_outer,weather_pressure,outer_isshu_priority_b1weak,b1_full_tobashi_shape,longshot_head_boats,longshot_head_candidate_count,longshot_head_with_b1_gap,double_time_boats,super_slit_boats,super_slit_alert_count,mid234_super_slit_count,outer456_super_slit_count,outer56_super_slit_count,slit_shape_label,b1_slit_gap_vs_23,b3_slit_adv_vs_12,b4_slit_adv_vs_123,outer56_slit_adv_vs_1,outer456_slit_adv_vs_123,slit_dekoboko,slit_b1_front_wall,slit_b1_hole_vs_23,slit_b2_wall_break_3peek,slit_b3_peek_vs_12,slit_b4_cadou_peek,slit_outer456_pressure,slit_outer56_pressure_vs_1,matchup_lane1_pressure_score,matchup_outer_good_count,matchup_lane1_bad_flag,matchup_notes,matchup_buff_boats,b1_matchup_label,b2_matchup_label,b3_matchup_label,b4_matchup_label,b5_matchup_label,b6_matchup_label,b2_ai_prediction_pct,b3_ai_prediction_pct,b4_ai_prediction_pct,b5_ai_prediction_pct,b6_ai_prediction_pct,b1_ai_3ren_pct,b2_ai_3ren_pct,b3_ai_3ren_pct,b4_ai_3ren_pct,b5_ai_3ren_pct,b6_ai_3ren_pct,b1_general_3ren_pct,b2_general_3ren_pct,b3_general_3ren_pct,b4_general_3ren_pct,b5_general_3ren_pct,b6_general_3ren_pct,b1_st_rank_general,b2_st_rank_general,b3_st_rank_general,b4_st_rank_general,b5_st_rank_general,b6_st_rank_general,b1_st_time_avg_general,b2_st_time_avg_general,b3_st_time_avg_general,b4_st_time_avg_general,b5_st_time_avg_general,b6_st_time_avg_general,b2_ai_plus,b3_ai_plus,b4_ai_plus,b5_ai_plus,b6_ai_plus,b2_ai_plus_order,b3_ai_plus_order,b4_ai_plus_order,b5_ai_plus_order,b6_ai_plus_order,boat1_double_time,mid234_double_time_count,outer46_double_time_count,outer56_double_time_count,wind_speed,wave_height,tenji_boats,raw_isshu_boats,hanshu_boats,isshu_boats
厳選統合,2026-06-29,尼崎,4,2026-06-29T12:00:00+09:00,2026-06-291304,Ippan,nan,サンケイスポーツ旗争奪　第５８回尼崎選手権競走,0,strict,23.32,16.82,,6.5,"[{'id': 'codex_matchup_outer_good2', 'label': '対戦相性: 1号艇に強い相性バフ艇が2艇以上', 'historical_rate_pct': None, 'bonus_pct': 2.2, 'role': 'matchup_manshu_up', 'details': {'matchup_outer_good_count': 3, 'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['3号艇相性軸バフ', '4号艇相性バフ', '5号艇相性バフ']}}, {'id': 'codex_matchup_lane1_bad', 'label': '対戦相性: 1号艇が今回メンバー相手に劣勢', 'historical_rate_pct': None, 'bonus_pct': 1.4, 'role': 'b1_fly_up', 'details': {'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['3号艇相性軸バフ', '4号艇相性バフ', '5号艇相性バフ']}}, {'id': 'codex_matchup_buff_4', 'label': '対戦相性: 4号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 4, 'label': '相性バフ', 'meetings': 26.0, 'ahead_rate': 0.57692, 'top3_rate': 0.69231, 'head_bonus': 4.541, 'axis_bonus': 4.837}}, {'id': 'codex_matchup_buff_5', 'label': '対戦相性: 5号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 5, 'label': '相性バフ', 'meetings': 32.0, 'ahead_rate': 0.5625, 'top3_rate': 0.59375, 'head_bonus': 5.935, 'axis_bonus': 3.183}}, {'id': 'codex_matchup_axis_buff_3', 'label': '対戦相性: 3号艇が今回メンバー相手に3着内上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.7, 'role': 'outer_top3_up', 'details': {'boat': 3, 'label': '相性軸バフ', 'meetings': 24.0, 'ahead_rate': 0.54167, 'top3_rate': 0.70833, 'axis_bonus': 4.0}}, {'id': 'codex_allvenue_early', 'label': '全場: 前半1〜6Rで荒れ材料あり', 'historical_rate_pct': None, 'bonus_pct': 0.4, 'role': 'context_up', 'details': {}}]",,Codex厳選ランキング: 過去27%以上条件、1号艇弱化、外枠上振れ、AI/オッズ、展示+有効ラップ、スリット隊形、女子戦、天候、対戦相性を全統合 × Codex複合補正: 対戦相性: 1号艇に強い相性バフ艇が2艇以上 / 対戦相性: 1号艇が今回メンバー相手に劣勢,0,,,,,,0,0,0,nan,nan,,,,,,,,,,,,1,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,0,0,0,,0,0,,,0,0,0,0,,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,3,1,3号艇相性軸バフ|4号艇相性バフ|5号艇相性バフ,"3,4,5",相性標準,相性デバフ,相性軸バフ,相性バフ,相性バフ,相性標準,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,0,0,0,0,,,0,0,0,0
厳選統合,2026-06-29,江戸川,7,2026-06-29T13:56:00+09:00,2026-06-290307,Ippan,nan,９代目江戸川番長決定戦,0,strict,22.92,16.82,,6.1,"[{'id': 'codex_matchup_outer_good2', 'label': '対戦相性: 1号艇に強い相性バフ艇が2艇以上', 'historical_rate_pct': None, 'bonus_pct': 2.2, 'role': 'matchup_manshu_up', 'details': {'matchup_outer_good_count': 3, 'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['2号艇相性軸バフ', '3号艇相性バフ', '6号艇相性バフ']}}, {'id': 'codex_matchup_lane1_bad', 'label': '対戦相性: 1号艇が今回メンバー相手に劣勢', 'historical_rate_pct': None, 'bonus_pct': 1.4, 'role': 'b1_fly_up', 'details': {'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['2号艇相性軸バフ', '3号艇相性バフ', '6号艇相性バフ']}}, {'id': 'codex_matchup_buff_3', 'label': '対戦相性: 3号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 3, 'label': '相性バフ', 'meetings': 28.0, 'ahead_rate': 0.78571, 'top3_rate': 0.78571, 'head_bonus': 8.0, 'axis_bonus': 7.467}}, {'id': 'codex_matchup_buff_6', 'label': '対戦相性: 6号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 6, 'label': '相性バフ', 'meetings': 62.0, 'ahead_rate': 0.53226, 'top3_rate': 0.64516, 'head_bonus': 4.97, 'axis_bonus': 3.634}}, {'id': 'codex_matchup_axis_buff_2', 'label': '対戦相性: 2号艇が今回メンバー相手に3着内上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.7, 'role': 'outer_top3_up', 'details': {'boat': 2, 'label': '相性軸バフ', 'meetings': 60.0, 'ahead_rate': 0.53333, 'top3_rate': 0.7, 'axis_bonus': 4.84}}]",,Codex厳選ランキング: 過去27%以上条件、1号艇弱化、外枠上振れ、AI/オッズ、展示+有効ラップ、スリット隊形、女子戦、天候、対戦相性を全統合 × Codex複合補正: 対戦相性: 1号艇に強い相性バフ艇が2艇以上 / 対戦相性: 1号艇が今回メンバー相手に劣勢,0,,,,,,0,0,0,nan,nan,,,,,,,,,,,,1,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,0,0,0,,0,0,,,0,0,0,0,,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,3,1,2号艇相性軸バフ|3号艇相性バフ|6号艇相性バフ,"2,3,6",相性デバフ,相性軸バフ,相性バフ,相性標準,相性標準,相性バフ,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,0,0,0,0,,,0,0,0,0
厳選統合,2026-06-29,江戸川,6,2026-06-29T13:29:00+09:00,2026-06-290306,Ippan,nan,９代目江戸川番長決定戦,0,strict,22.62,16.82,,5.8,"[{'id': 'codex_matchup_outer_good2', 'label': '対戦相性: 1号艇に強い相性バフ艇が2艇以上', 'historical_rate_pct': None, 'bonus_pct': 2.2, 'role': 'matchup_manshu_up', 'details': {'matchup_outer_good_count': 2, 'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['4号艇相性バフ', '5号艇相性バフ']}}, {'id': 'codex_matchup_lane1_bad', 'label': '対戦相性: 1号艇が今回メンバー相手に劣勢', 'historical_rate_pct': None, 'bonus_pct': 1.4, 'role': 'b1_fly_up', 'details': {'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['4号艇相性バフ', '5号艇相性バフ']}}, {'id': 'codex_matchup_buff_4', 'label': '対戦相性: 4号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 4, 'label': '相性バフ', 'meetings': 36.0, 'ahead_rate': 0.61111, 'top3_rate': 0.63889, 'head_bonus': 4.684, 'axis_bonus': 4.953}}, {'id': 'codex_matchup_buff_5', 'label': '対戦相性: 5号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 5, 'label': '相性バフ', 'meetings': 23.0, 'ahead_rate': 0.73913, 'top3_rate': 0.69565, 'head_bonus': 6.9, 'axis_bonus': 5.937}}, {'id': 'codex_allvenue_early', 'label': '全場: 前半1〜6Rで荒れ材料あり', 'historical_rate_pct': None, 'bonus_pct': 0.4, 'role': 'context_up', 'details': {}}]",,Codex厳選ランキング: 過去27%以上条件、1号艇弱化、外枠上振れ、AI/オッズ、展示+有効ラップ、スリット隊形、女子戦、天候、対戦相性を全統合 × Codex複合補正: 対戦相性: 1号艇に強い相性バフ艇が2艇以上 / 対戦相性: 1号艇が今回メンバー相手に劣勢,0,,,,,,0,0,0,nan,nan,,,,,,,,,,,,1,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,0,0,0,,0,0,,,0,0,0,0,,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,2,1,4号艇相性バフ|5号艇相性バフ,"4,5",相性デバフ,相性標準,相性標準,相性バフ,相性バフ,相性標準,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,0,0,0,0,,,0,0,0,0
厳選統合,2026-06-29,びわこ,2,2026-06-29T11:11:00+09:00,2026-06-291102,Ippan,nan,第１４回近江牛カップ,0,strict,22.62,16.82,,5.8,"[{'id': 'codex_matchup_outer_good2', 'label': '対戦相性: 1号艇に強い相性バフ艇が2艇以上', 'historical_rate_pct': None, 'bonus_pct': 2.2, 'role': 'matchup_manshu_up', 'details': {'matchup_outer_good_count': 2, 'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['4号艇相性バフ', '6号艇相性バフ']}}, {'id': 'codex_matchup_lane1_bad', 'label': '対戦相性: 1号艇が今回メンバー相手に劣勢', 'historical_rate_pct': None, 'bonus_pct': 1.4, 'role': 'b1_fly_up', 'details': {'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['4号艇相性バフ', '6号艇相性バフ']}}, {'id': 'codex_matchup_buff_4', 'label': '対戦相性: 4号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 4, 'label': '相性バフ', 'meetings': 25.0, 'ahead_rate': 0.88, 'top3_rate': 0.88, 'head_bonus': 7.5, 'axis_bonus': 6.667}}, {'id': 'codex_matchup_buff_6', 'label': '対戦相性: 6号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 6, 'label': '相性バフ', 'meetings': 34.0, 'ahead_rate': 0.64706, 'top3_rate': 0.64706, 'head_bonus': 7.795, 'axis_bonus': 5.708}}, {'id': 'codex_allvenue_early', 'label': '全場: 前半1〜6Rで荒れ材料あり', 'historical_rate_pct': None, 'bonus_pct': 0.4, 'role': 'context_up', 'details': {}}]",,Codex厳選ランキング: 過去27%以上条件、1号艇弱化、外枠上振れ、AI/オッズ、展示+有効ラップ、スリット隊形、女子戦、天候、対戦相性を全統合 × Codex複合補正: 対戦相性: 1号艇に強い相性バフ艇が2艇以上 / 対戦相性: 1号艇が今回メンバー相手に劣勢,0,,,,,,0,0,0,nan,nan,,,,,,,,,,,,1,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,0,0,0,,0,0,,,0,0,0,0,,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,2,1,4号艇相性バフ|6号艇相性バフ,"4,6",相性デバフ,相性標準,相性標準,相性バフ,相性標準,相性バフ,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,0,0,0,0,,,0,0,0,0
厳選統合,2026-06-29,住之江,3,2026-06-29T16:40:00+09:00,2026-06-291203,Ippan,Venus,ＶＳ第７戦大スポ賞第３７回アクアクイーンカップ,1,strict,22.62,16.82,,5.8,"[{'id': 'codex_matchup_outer_good2', 'label': '対戦相性: 1号艇に強い相性バフ艇が2艇以上', 'historical_rate_pct': None, 'bonus_pct': 2.2, 'role': 'matchup_manshu_up', 'details': {'matchup_outer_good_count': 2, 'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['2号艇相性バフ', '5号艇相性バフ']}}, {'id': 'codex_matchup_lane1_bad', 'label': '対戦相性: 1号艇が今回メンバー相手に劣勢', 'historical_rate_pct': None, 'bonus_pct': 1.4, 'role': 'b1_fly_up', 'details': {'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['2号艇相性バフ', '5号艇相性バフ']}}, {'id': 'codex_matchup_buff_2', 'label': '対戦相性: 2号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 2, 'label': '相性バフ', 'meetings': 84.0, 'ahead_rate': 0.58333, 'top3_rate': 0.63095, 'head_bonus': 5.645, 'axis_bonus': 4.334}}, {'id': 'codex_matchup_buff_5', 'label': '対戦相性: 5号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 5, 'label': '相性バフ', 'meetings': 73.0, 'ahead_rate': 0.72603, 'top3_rate': 0.73973, 'head_bonus': 8.0, 'axis_bonus': 8.0}}, {'id': 'codex_allvenue_early', 'label': '全場: 前半1〜6Rで荒れ材料あり', 'historical_rate_pct': None, 'bonus_pct': 0.4, 'role': 'context_up', 'details': {}}]",,Codex厳選ランキング: 過去27%以上条件、1号艇弱化、外枠上振れ、AI/オッズ、展示+有効ラップ、スリット隊形、女子戦、天候、対戦相性を全統合 × Codex複合補正: 対戦相性: 1号艇に強い相性バフ艇が2艇以上 / 対戦相性: 1号艇が今回メンバー相手に劣勢,0,,,,,,0,0,0,nan,nan,,,,,,,,,,,,1,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,0,0,0,,0,0,,,0,0,0,0,,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,2,1,2号艇相性バフ|5号艇相性バフ,"2,5",相性標準,相性バフ,相性標準,相性デバフ,相性バフ,相性データ薄,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,0,0,0,0,,,0,0,0,0
厳選統合,2026-06-29,住之江,4,2026-06-29T17:06:00+09:00,2026-06-291204,Ippan,Venus,ＶＳ第７戦大スポ賞第３７回アクアクイーンカップ,1,strict,22.62,16.82,,5.8,"[{'id': 'codex_matchup_outer_good2', 'label': '対戦相性: 1号艇に強い相性バフ艇が2艇以上', 'historical_rate_pct': None, 'bonus_pct': 2.2, 'role': 'matchup_manshu_up', 'details': {'matchup_outer_good_count': 2, 'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['3号艇相性バフ', '5号艇相性バフ']}}, {'id': 'codex_matchup_lane1_bad', 'label': '対戦相性: 1号艇が今回メンバー相手に劣勢', 'historical_rate_pct': None, 'bonus_pct': 1.4, 'role': 'b1_fly_up', 'details': {'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['3号艇相性バフ', '5号艇相性バフ']}}, {'id': 'codex_matchup_buff_3', 'label': '対戦相性: 3号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 3, 'label': '相性バフ', 'meetings': 53.0, 'ahead_rate': 0.64151, 'top3_rate': 0.66038, 'head_bonus': 6.504, 'axis_bonus': 5.912}}, {'id': 'codex_matchup_buff_5', 'label': '対戦相性: 5号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 5, 'label': '相性バフ', 'meetings': 75.0, 'ahead_rate': 0.72, 'top3_rate': 0.65333, 'head_bonus': 8.0, 'axis_bonus': 6.813}}, {'id': 'codex_allvenue_early', 'label': '全場: 前半1〜6Rで荒れ材料あり', 'historical_rate_pct': None, 'bonus_pct': 0.4, 'role': 'context_up', 'details': {}}]",,Codex厳選ランキング: 過去27%以上条件、1号艇弱化、外枠上振れ、AI/オッズ、展示+有効ラップ、スリット隊形、女子戦、天候、対戦相性を全統合 × Codex複合補正: 対戦相性: 1号艇に強い相性バフ艇が2艇以上 / 対戦相性: 1号艇が今回メンバー相手に劣勢,0,,,,,,0,0,0,nan,nan,,,,,,,,,,,,1,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,0,0,0,,0,0,,,0,0,0,0,,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,2,1,3号艇相性バフ|5号艇相性バフ,"3,5",相性デバフ,相性標準,相性バフ,相性標準,相性バフ,相性データ薄,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,0,0,0,0,,,0,0,0,0
厳選統合,2026-06-29,尼崎,5,2026-06-29T12:28:00+09:00,2026-06-291305,Ippan,nan,サンケイスポーツ旗争奪　第５８回尼崎選手権競走,0,strict,22.62,16.82,,5.8,"[{'id': 'codex_matchup_outer_good2', 'label': '対戦相性: 1号艇に強い相性バフ艇が2艇以上', 'historical_rate_pct': None, 'bonus_pct': 2.2, 'role': 'matchup_manshu_up', 'details': {'matchup_outer_good_count': 2, 'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['2号艇相性バフ', '5号艇相性バフ']}}, {'id': 'codex_matchup_lane1_bad', 'label': '対戦相性: 1号艇が今回メンバー相手に劣勢', 'historical_rate_pct': None, 'bonus_pct': 1.4, 'role': 'b1_fly_up', 'details': {'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['2号艇相性バフ', '5号艇相性バフ']}}, {'id': 'codex_matchup_buff_2', 'label': '対戦相性: 2号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 2, 'label': '相性バフ', 'meetings': 44.0, 'ahead_rate': 0.61364, 'top3_rate': 0.65909, 'head_bonus': 5.922, 'axis_bonus': 5.438}}, {'id': 'codex_matchup_buff_5', 'label': '対戦相性: 5号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 5, 'label': '相性バフ', 'meetings': 18.0, 'ahead_rate': 0.77778, 'top3_rate': 0.77778, 'head_bonus': 5.4, 'axis_bonus': 4.8}}, {'id': 'codex_allvenue_early', 'label': '全場: 前半1〜6Rで荒れ材料あり', 'historical_rate_pct': None, 'bonus_pct': 0.4, 'role': 'context_up', 'details': {}}]",,Codex厳選ランキング: 過去27%以上条件、1号艇弱化、外枠上振れ、AI/オッズ、展示+有効ラップ、スリット隊形、女子戦、天候、対戦相性を全統合 × Codex複合補正: 対戦相性: 1号艇に強い相性バフ艇が2艇以上 / 対戦相性: 1号艇が今回メンバー相手に劣勢,0,,,,,,0,0,0,nan,nan,,,,,,,,,,,,1,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,0,0,0,,0,0,,,0,0,0,0,,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,2,1,2号艇相性バフ|5号艇相性バフ,"2,5",相性標準,相性バフ,相性標準,相性標準,相性バフ,相性標準,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,0,0,0,0,,,0,0,0,0
厳選統合,2026-06-29,江戸川,2,2026-06-29T11:41:00+09:00,2026-06-290302,Ippan,nan,９代目江戸川番長決定戦,0,strict,22.42,16.82,,5.6,"[{'id': 'codex_matchup_outer_good2', 'label': '対戦相性: 1号艇に強い相性バフ艇が2艇以上', 'historical_rate_pct': None, 'bonus_pct': 2.2, 'role': 'matchup_manshu_up', 'details': {'matchup_outer_good_count': 2, 'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['4号艇相性軸バフ', '5号艇相性バフ']}}, {'id': 'codex_matchup_lane1_bad', 'label': '対戦相性: 1号艇が今回メンバー相手に劣勢', 'historical_rate_pct': None, 'bonus_pct': 1.4, 'role': 'b1_fly_up', 'details': {'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['4号艇相性軸バフ', '5号艇相性バフ']}}, {'id': 'codex_matchup_buff_5', 'label': '対戦相性: 5号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 5, 'label': '相性バフ', 'meetings': 85.0, 'ahead_rate': 0.65882, 'top3_rate': 0.67059, 'head_bonus': 6.358, 'axis_bonus': 6.414}}, {'id': 'codex_matchup_axis_buff_4', 'label': '対戦相性: 4号艇が今回メンバー相手に3着内上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.7, 'role': 'outer_top3_up', 'details': {'boat': 4, 'label': '相性軸バフ', 'meetings': 68.0, 'ahead_rate': 0.61765, 'top3_rate': 0.67647, 'axis_bonus': 5.885}}, {'id': 'codex_allvenue_early', 'label': '全場: 前半1〜6Rで荒れ材料あり', 'historical_rate_pct': None, 'bonus_pct': 0.4, 'role': 'context_up', 'details': {}}]",,Codex厳選ランキング: 過去27%以上条件、1号艇弱化、外枠上振れ、AI/オッズ、展示+有効ラップ、スリット隊形、女子戦、天候、対戦相性を全統合 × Codex複合補正: 対戦相性: 1号艇に強い相性バフ艇が2艇以上 / 対戦相性: 1号艇が今回メンバー相手に劣勢,0,,,,,,0,0,0,nan,nan,,,,,,,,,,,,1,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,0,0,0,,0,0,,,0,0,0,0,,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,2,1,4号艇相性軸バフ|5号艇相性バフ,"4,5",相性標準,相性標準,相性標準,相性軸バフ,相性バフ,相性標準,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,0,0,0,0,,,0,0,0,0
厳選統合,2026-06-29,戸田,10,2026-06-29T15:21:00+09:00,2026-06-290210,Ippan,nan,マクール杯,0,strict,22.22,16.82,,5.4,"[{'id': 'codex_matchup_outer_good2', 'label': '対戦相性: 1号艇に強い相性バフ艇が2艇以上', 'historical_rate_pct': None, 'bonus_pct': 2.2, 'role': 'matchup_manshu_up', 'details': {'matchup_outer_good_count': 2, 'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['2号艇相性バフ', '4号艇相性バフ']}}, {'id': 'codex_matchup_lane1_bad', 'label': '対戦相性: 1号艇が今回メンバー相手に劣勢', 'historical_rate_pct': None, 'bonus_pct': 1.4, 'role': 'b1_fly_up', 'details': {'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['2号艇相性バフ', '4号艇相性バフ']}}, {'id': 'codex_matchup_buff_2', 'label': '対戦相性: 2号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 2, 'label': '相性バフ', 'meetings': 30.0, 'ahead_rate': 0.7, 'top3_rate': 0.63333, 'head_bonus': 8.0, 'axis_bonus': 6.253}}, {'id': 'codex_matchup_buff_4', 'label': '対戦相性: 4号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 4, 'label': '相性バフ', 'meetings': 28.0, 'ahead_rate': 0.78571, 'top3_rate': 0.67857, 'head_bonus': 8.0, 'axis_bonus': 6.877}}]",,Codex厳選ランキング: 過去27%以上条件、1号艇弱化、外枠上振れ、AI/オッズ、展示+有効ラップ、スリット隊形、女子戦、天候、対戦相性を全統合 × Codex複合補正: 対戦相性: 1号艇に強い相性バフ艇が2艇以上 / 対戦相性: 1号艇が今回メンバー相手に劣勢,0,,,,,,0,0,0,nan,nan,,,,,,,,,,,,1,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,0,0,0,,0,0,,,0,0,0,0,,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,2,1,2号艇相性バフ|4号艇相性バフ,"2,4",相性標準,相性バフ,相性標準,相性バフ,相性標準,相性デバフ,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,0,0,0,0,,,0,0,0,0
